， (COMMACATEGORY)	217401
的 (DE)	117488
。 (PERIODCATEGORY)	55271
、 (PAUSECATEGORY)	42587
台灣 (Nc_LOCATION)	25697
「 (PARENTHESISCATEGORY)	19868
」 (PARENTHESISCATEGORY)	19863
是 (SHI)	19712
民進黨 (Nb_ORGANIZATION)	17489
也 (D)	15457
在 (P)	14707
與 (Caa)	12008
不 (D)	11398
這 (Nep)	11228
表示 (VE)	11002
我們 (Nh)	10535
總統 (Na)	10513
： (COLONCATEGORY)	10414
政府 (Na)	10373
民主 (Na)	9966
黨 (Na)	9893
主席 (Na)	9812
有 (V_2)	9628
會 (D)	9443
? (QUESTIONCATEGORY)	9168
） (PARENTHESISCATEGORY)	8923
（ (PARENTHESISCATEGORY)	8909
要 (D)	8535
中國 (Nc_LOCATION)	8523
一 (Neu)	8479
人 (Na)	8447
在 (D)	8287
人民 (Na)	8154
蔡 (Nb)	8144
讓 (VL)	8020
英文 (Na)	8014
國民黨 (Nb_ORGANIZATION)	7860
及 (Caa)	7666
都 (D)	7386
將 (D)	7346
對 (P)	6920
更 (D)	6850
為 (P)	6634
之 (DE)	6441
一個 (D)	6055
社會 (Na)	5999
國家 (Na)	5898
以 (P)	5440
選舉 (Na)	5360
是 (D)	5336
就 (D)	5296
而 (Cbb)	4986
他 (Nh)	4712
； (SEMICOLONCATEGORY)	4691
她 (Nh)	4676
立委 (Na)	4669
和 (Caa)	4605
中 (Ng)	4549
了 (Di)	4451
針對 (P)	4450
次 (Nf)	4438
個 (Nf)	4359
有 (D)	4337
說 (Na)	4306
最 (Dfa)	4257
問題 (Na)	4244
來 (D)	4173
中 (A)	4124
一 (D)	4096
並 (D)	4095
進步黨 (Nb_ORGANIZATION)	4069
馬英九 (Nb_PERSON)	4062
政治 (Na)	3952
政策 (Na)	3923
說 (VE)	3893
但 (Cbb)	3849
主任 (Na)	3844
馬 (Na)	3833
應 (D)	3833
執政 (VA)	3824
對於 (P)	3753
？ (QUESTIONCATEGORY)	3730
大 (VH)	3685
經濟 (Na)	3619
與 (P)	3615
此 (Nep)	3609
沒有 (D)	3541
年 (Nf)	3527
日 (Na)	3490
能 (D)	3459
候選人 (Na)	3444
可以 (D)	3430
就是 (Cbb)	3423
強調 (VE)	3381
馬 (Nb_PERSON)	3277
提出 (VC)	3275
指出 (VE)	3271
未來 (Nd_DATE)	3269
支持 (VC)	3208
應該 (D)	3160
認為 (VE)	3141
政黨 (Na)	3063
兩岸 (Nc)	3034
本 (Nes)	3013
選 (VC)	2997
卻 (D)	2973
秘書長 (Na)	2963
三 (Neu)	2913
由 (P)	2903
附件 (Na)	2887
後 (Ng)	2849
發展 (Na)	2800
我 (Nh)	2781
進行 (VC)	2757
. (PERIODCATEGORY)	2754
必須 (D)	2736
民眾 (Na)	2727
國際 (Nc)	2700
檔案 (Na)	2696
因此 (Cbb)	2687
大家 (Nh)	2675
對 (D)	2666
/ (SYMBOLCATEGORY)	2619
者 (Na)	2618
還 (D)	2606
於 (P)	2593
台 (Nc)	2555
很 (Dfa)	2536
因為 (Cbb)	2520
案 (Na)	2518
各 (Nes)	2511
地方 (Na)	2503
再 (D)	2490
% (UNITCATEGORY)	2470
媒體 (Na)	2450
等 (Cab)	2448
市長 (Na)	2438
新 (VH)	2434
以及 (Caa)	2430
已經 (D)	2427
今 (Nd_DATE)	2414
常會 (Na)	2412
所 (D)	2396
呼籲 (VE)	2395
或 (Caa)	2387
產業 (Na)	2364
票 (Na)	2358
要 (Cbb)	2337
公 (Na)	2330
過去 (Nd_DATE)	2326
民 (Na)	2316
投 (VC)	2294
做 (VC)	2275
第一 (Neu)	2268
蔡 (Nb_PERSON)	2262
已 (D)	2226
希望 (VK)	2225
現在 (Nd_DATE)	2207
兩 (Neu)	2195
屆 (Nf)	2195
為 (D)	2187
大 (A)	2145
工作 (Na)	2138
從 (P)	2136
事 (Na)	2107
如果 (Cbb)	2106
到 (P)	2106
次 (Cbb)	2088
推動 (VC)	2069
代表 (Na)	2068
向 (P)	2066
會 (Na)	2058
元 (Nf)	2039
但是 (Cbb)	2038
法 (Na)	2032
重要 (VH)	2031
選區 (Nc)	2026
鄭文燦 (Nb_PERSON)	2005
不是 (Na)	1968
陳其邁 (Nb_PERSON)	1924
自己 (Nh)	1913
