， (COMMACATEGORY)	75851
的 (DE)	34094
。 (PERIODCATEGORY)	14310
、 (PAUSECATEGORY)	11688
國民黨 (Nb_ORGANIZATION)	6366
是 (SHI)	6282
」 (PARENTHESISCATEGORY)	5956
「 (PARENTHESISCATEGORY)	5956
也 (D)	5062
主席 (Na)	4725
這 (Nep)	4298
在 (P)	4246
台灣 (Nc_LOCATION)	4240
他 (Nh)	4021
不 (D)	3782
有 (V_2)	3739
民進黨 (Nb_ORGANIZATION)	3710
會 (D)	3549
馬 (Nb_PERSON)	3533
黨 (Na)	3527
我們 (Nh)	3440
都 (D)	3201
表示 (VE)	3055
要 (D)	2978
與 (Caa)	2922
在 (D)	2824
人 (Na)	2772
兩岸 (Nc)	2680
一 (Neu)	2503
但 (Cbb)	2491
對 (P)	2372
就 (D)	2264
讓 (VL)	2186
選舉 (Na)	2167
總統 (Na)	2159
為 (P)	2006
及 (Caa)	1989
能 (D)	1977
中國國民黨 (Nb_ORGANIZATION)	1938
我 (Nh)	1874
政府 (Na)	1837
； (SEMICOLONCATEGORY)	1790
將 (D)	1784
更 (D)	1741
之 (DE)	1726
了 (Di)	1723
經濟 (Na)	1723
是 (D)	1667
強調 (VE)	1633
： (COLONCATEGORY)	1615
文化 (Na)	1606
秘書長 (Na)	1604
新聞稿 (Na)	1602
個 (Nf)	1584
以 (P)	1573
年 (Nf)	1556
有 (D)	1555
執政 (VA)	1535
中 (A)	1494
大家 (Nh)	1479
委員會 (Nc)	1467
市長 (Na)	1431
次 (Nf)	1422
？ (QUESTIONCATEGORY)	1371
人民 (Na)	1353
一個 (D)	1311
大 (VH)	1283
而 (Cbb)	1268
今天 (Nd_DATE)	1254
一 (D)	1247
並 (D)	1211
） (PARENTHESISCATEGORY)	1206
（ (PARENTHESISCATEGORY)	1201
立委 (Na)	1201
來 (D)	1201
各 (Nes)	1198
中 (Ng)	1189
問題 (Na)	1189
可以 (D)	1185
最 (Dfa)	1184
指出 (VE)	1165
大陸 (Nc)	1161
很 (Dfa)	1157
沒有 (D)	1156
未來 (Nd_DATE)	1150
就是 (Cbb)	1143
常會 (Na)	1142
說 (Na)	1140
因為 (Cbb)	1118
政策 (Na)	1109
傳播 (Na)	1102
和 (Caa)	1101
對於 (P)	1087
做 (VC)	1085
主委 (Na)	1085
吳伯雄 (Nb_PERSON)	1075
社會 (Na)	1037
已 (D)	1029
希望 (VK)	1018
說 (VE)	1002
國家 (Na)	999
選 (VC)	999
蔡 (Nb)	977
與 (P)	976
中央 (Nc)	974
候選人 (Na)	971
後 (Ng)	964
位 (Nf)	961
支持 (VC)	959
英文 (Na)	957
推動 (VC)	954
此 (Nep)	954
還 (D)	949
或 (Caa)	943
關係 (Na)	942
民眾 (Na)	934
案 (Na)	934
時 (D)	924
到 (P)	923
兩 (Neu)	919
應 (D)	898
發展 (Na)	893
年 (Na)	886
非常 (Dfa)	883
工作 (Na)	882
馬英九 (Nb_PERSON)	878
重要 (VH)	877
進行 (VC)	874
地方 (Na)	871
等 (Cab)	870
再 (D)	854
文 (Na)	840
針對 (P)	829
一定 (D)	823
現在 (Nd_DATE)	820
努力 (VH)	815
提名 (Na)	810
民 (Na)	802
好 (VH)	801
政治 (Na)	800
已經 (D)	796
如果 (Cbb)	793
提出 (VC)	793
三 (Neu)	788
認為 (VE)	780
所 (D)	779
多 (VH)	779
政黨 (Na)	770
金 (Nb_PERSON)	767
媒體 (Na)	766
本 (Nes)	754
不是 (Na)	751
從 (P)	748
事 (Na)	733
過去 (Nd_DATE)	731
由 (P)	728
了 (DE)	726
後 (D)	719
項 (Nf)	709
對 (D)	701
把 (P)	680
不要 (D)	680
大 (A)	678
所以 (Cbb)	677
第一 (Neu)	677
要 (Cbb)	671
於 (P)	668
參選 (VC)	666
者 (Na)	654
高雄 (Nc_LOCATION)	651
黨主席 (Na)	651
合作 (VH)	649
希望 (Na)	649
中華民國 (Nc_LOCATION)	645
代表 (Na)	641
應該 (D)	641
協議 (Na)	637
不會 (D)	630
立法院 (Nb_ORGANIZATION)	627
他們 (Nh)	626
選 (Na)	622
沒有 (VJ)	620
同志 (Na)	609
不能 (D)	609
國際 (Nc)	606
新 (VH)	601
因此 (Cbb)	598
呼籲 (VE)	597
這樣 (VH)	592
團結 (VHC)	590
為 (D)	590
台 (Nc)	585
相關 (VH)	584
自己 (Nh)	583
增加 (VHC)	581
第 (Neu)	580
時 (Ng)	578
報告 (Na)	572
包括 (VK)	572
法 (Na)	568
事實 (Na)	563
台北 (Nc_LOCATION)	563
調 (Na)	562
常委 (Na)	561
李建榮 (Nb_PERSON)	560
今年 (Nd_DATE)	557
以及 (Caa)	555
種 (Nf)	553
四 (Neu)	543
報導 (Na)	541
上 (Ncd)	537
方面 (Na)	535
上 (Ng)	532
目前 (Nd_DATE)	524
次 (Cbb)	520
卻 (D)	519
向 (P)	518
才 (Da)	518
處理 (VC)	513
時間 (Na)	513
機會 (Na)	510
改革 (VC)	509
會 (Na)	508
每 (Nes)	503
了 (T)	500
任何 (Neqa)	499
這些 (Neqa)	498
跟 (P)	496
說明 (Na)	495
民主 (Na)	495
參加 (VC)	493
元 (Nf)	491
支持 (Na)	488
！ (EXCLANATIONCATEGORY)	485
國 (Na)	485
她 (Nh)	482
吳 (Nb_PERSON)	481
這 (Dfa)	480
相信 (VK)	479
傳 (Na)	478
前 (Ng)	473
多 (A)	471
台南 (Nc_LOCATION)	469
所 (Cbb)	468
特別 (VH)	467
和平 (VH)	467
中 (Ncd)	466
共識 (Na)	463
國民 (Na)	462
去年 (Nd_DATE)	461
請 (VF)	460
方式 (Na)	459
則 (D)	458
能夠 (D)	453
被 (P)	452
其 (Nep)	452
賴素如 (Nb_PERSON)	451
的 (T)	447
全力 (D)	440
二 (Neu)	439
屆 (Nf)	438
世界 (Nc)	432
全國 (Nb)	431
上 (Di)	429
縣市 (Nc)	427
會議 (Na)	427
縣長 (Na)	425
% (UNITCATEGORY)	423
行政 (Na)	422
同時 (Nd_DATE)	421
第二 (Neu)	421
日本 (Nc_LOCATION)	418
行政院 (Nb_ORGANIZATION)	417
仍 (D)	417
陳水扁 (Nb_PERSON)	415
以 (Cba)	413
競選 (VC)	412
當時 (Nd_DATE)	412
美國 (Nc_LOCATION)	409
可 (D)	407
意見 (Na)	406
情況 (Na)	406
必須 (D)	405
共同 (A)	405
要求 (Na)	402
先生 (Na)	401
到 (Caa)	401
所有 (Neqa)	394
做 (VB)	394
選民 (Na)	394
今日 (Nd_DATE)	394
面對 (VC)	394
投票 (VA)	393
組織 (Na)	393
完成 (VC)	389
並 (Caa)	387
個 (DE)	387
發言人 (Na)	386
將 (P)	386
過程 (Na)	385
黨員 (Na)	385
輔選 (VB)	384
去 (D)	382
肯定 (VK)	382
於 (Nb)	381
發生 (VJ)	380
票 (Na)	379
擔任 (VG)	379
個人 (Na)	379
又 (D)	378
積極 (VH)	377
歷史 (Na)	375
接受 (VC)	373
大會 (Na)	373
月 (Na)	373
時候 (Na)	372
建設 (Na)	371
論壇 (Na)	371
繼續 (VF)	371
前 (A)	370
中 (Nc)	370
給 (P)	369
院長 (Na)	368
雙方 (Nh)	368
其他 (Neqa)	367
舉行 (VC)	365
高 (VH)	361
參與 (VC)	360
非常 (A)	357
陳 (Nb_PERSON)	357
. (PERIODCATEGORY)	355
協商 (VE)	355
ECFA (FW)	355
走 (VA)	353
日 (Na)	353
全 (Neqa)	353
完全 (D)	353
等 (VC)	352
通過 (VC)	352
黨籍 (Na)	352
年來 (Nb)	352
副主席 (Na)	350
政 (Na)	350
中國 (Nc_LOCATION)	347
雖然 (Cbb)	347
結果 (Na)	347
投資 (Na)	345
公開 (VHC)	344
透過 (P)	344
決定 (Na)	344
提名 (VC)	343
議題 (Na)	343
很多 (Neqa)	342
性 (Na)	341
幾 (Neu)	340
當選 (VG)	339
還是 (D)	339
產業 (Na)	338
未 (D)	338
最後 (Nd_DATE)	338
只 (Da)	337
許多 (Neqa)	336
他 (Neqa)	335
內容 (Na)	333
你 (Nh)	332
成為 (VG)	330
目標 (Na)	329
陳以信 (Nb_PERSON)	328
情 (Na)	328
了解 (VK)	327
堅持 (VK)	326
各 (D)	325
立場 (Na)	323
通過 (P)	321
看 (VC)	320
什麼 (Nep)	320
制 (Na)	319
吳敦義 (Nb_PERSON)	318
五都 (Nc_LOCATION)	315
若 (Cbb)	314
並 (Cbb)	314
黨部 (Nc)	314
可能 (D)	313
選區 (Nc)	313
需要 (Na)	313
是否 (D)	312
質疑 (VE)	311
尤其 (D)	311
貪腐 (Nb)	310
爭取 (VC)	310
期待 (VK)	309
有關 (VJ)	308
交流 (VH)	308
部分 (Neqa)	308
加強 (VC)	308
投 (VC)	306
戰 (Na)	306
才能 (Na)	304
一起 (D)	304
至於 (P)	303
天 (Nf)	303
溝通 (VC)	303
蘇俊賓 (Nb_PERSON)	302
多 (D)	302
全球 (Nc)	300
內 (Ncd)	300
青年 (Na)	300
市 (Nc)	299
責任 (Na)	299
產 (Na)	297
費 (Na)	295
五 (Neu)	295
金溥聰 (Nb_PERSON)	293
行動 (Na)	292
無法 (D)	290
下 (Ng)	290
解決 (VC)	289
台 (Na)	287
方向 (Na)	287
造成 (VG)	287
向 (D)	285
持續 (VL)	284
講 (VE)	284
致詞 (VA)	284
清廉 (VH)	284
願意 (VK)	283
期間 (Na)	283
司法 (Na)	283
委 (Na)	282
金融 (Na)	282
先 (D)	282
作為 (Na)	281
台北市 (Nc_LOCATION)	281
建立 (VC)	280
外交 (Na)	280
點 (Nf)	280
如何 (D)	280
縣 (Nc)	279
當 (P)	279
有的 (Neqa)	279
自由 (Na)	278
％ (UNITCATEGORY)	278
知道 (VK)	276
此外 (Cbb)	276
兩 (Nd_DATE)	275
沒 (D)	275
規定 (Na)	275
比 (P)	274
一定 (A)	273
感謝 (VK)	273
下 (Di)	273
重大 (VH)	272
活動 (Na)	272
事件 (Na)	272
2 (Neu)	272
公 (Na)	272
團隊 (Na)	271
機 (Na)	271
權 (Na)	271
檢討 (VC)	271
因 (Cbb)	270
協調 (VC)	270
黨團 (Na)	270
黃昭順 (Nb_PERSON)	270
? (QUESTIONCATEGORY)	269
3 (Neu)	269
人士 (Na)	269
開放 (VC)	269
使 (VL)	269
副 (A)	268
只要 (Cbb)	267
超過 (VJ)	267
經貿 (Na)	266
成立 (VC)	266
力量 (Na)	266
協助 (VC)	266
而是 (Cbb)	264
該 (D)	263
率 (Na)	263
好 (Cbb)	263
曾 (D)	263
只有 (D)	262
法案 (Na)	262
; (SEMICOLONCATEGORY)	261
受到 (VJ)	260
邀請 (VC)	260
位 (Na)	260
那 (Nep)	259
罷免 (VC)	259
舉辦 (VC)	259
農 (Na)	258
競爭力 (Na)	258
共 (D)	257
名單 (Na)	257
原則 (Na)	255
鄉親 (Na)	255
即 (D)	254
海 (Na)	254
委員 (Na)	254
黨務 (Na)	253
桃園 (Nc_LOCATION)	252
還有 (Caa)	252
成果 (Na)	252
過 (Di)	252
影響 (Na)	251
首長 (Na)	251
和 (P)	250
三 (D)	250
立法 (VA)	250
嗎 (T)	250
看到 (VE)	250
賄選 (Na)	250
批評 (Na)	249
用 (P)	249
提到 (VC)	249
1 (Neu)	249
而且 (Cbb)	249
地區 (Nc)	249
除了 (P)	248
部份 (Neqa)	247
莊 (Nb)	247
伯仲 (Nh)	247
想 (VE)	246
獲得 (VJ)	245
特別 (Dfa)	245
國內 (Nc)	245
事情 (Na)	245
改善 (VC)	244
規劃 (Na)	243
以來 (Ng)	243
尊重 (VJ)	243
甚至 (D)	242
制度 (Na)	242
無 (VJ)	241
地 (Na)	240
指 (Na)	240
簽署 (VC)	239
有人 (Nb)	239
建議 (Na)	237
內 (Na)	237
標準 (Na)	237
只是 (D)	237
表現 (Na)	236
化 (VH)	235
表達 (VC)	234
成長 (VH)	234
上午 (Nd_TIME)	233
利益 (Na)	232
計畫 (Na)	232
絕對 (D)	232
令 (VL)	231
十 (Neu)	231
區 (Nc)	229
花蓮 (Nc_LOCATION)	228
來 (VA)	228
高雄市 (Nc_LOCATION)	228
環境 (Na)	228
國會 (Nb_ORGANIZATION)	227
出來 (VA)	227
問 (VE)	226
安全 (VH)	224
民意 (Na)	224
至 (P)	223
團 (Na)	223
這麼 (D)	222
發展 (VC)	222
人選 (Na)	221
態度 (Na)	221
且 (Cbb)	221
施政 (VA)	220
大選 (Na)	220
顯示 (VK)	220
全 (D)	220
覺得 (VK)	219
副總統 (Na)	219
立法委員 (Na)	219
不但 (Cbb)	218
改革 (Na)	218
召開 (VC)	218
, (COMMACATEGORY)	218
達到 (VJ)	218
採取 (VC)	218
部門 (Na)	217
嚴重 (VH)	217
新 (Na)	217
展現 (VC)	217
項 (Na)	216
總 (A)	216
著 (Di)	216
照顧 (VC)	216
the (FW)	216
主張 (Na)	216
需要 (VK)	216
信心 (Na)	216
但是 (Cbb)	215
黃玉振 (Nb_PERSON)	215
